condition,architecture,loss_regime,lambda_a,lambda_b,lambda_c,persistence,entropy,dissipation_rate,active
grid_std_baseline,grid,standard,2.3491431792192006,0.37902170603366997,0.9959708685715946,98.83994724544125,3.9354829070245443,0.19493645330703177,286.80425
grid_std_memoryless,grid,standard,-0.3642462167507866,3.396868627865335e-05,0.0,0.0,1.7820362872910531,0.35034012628571903,39.895
grid_std_anti,grid,standard,0.568632684830287,0.007161508817982497,1.0616001181066745,3.8042339020251057,0.8504086725833672,0.4085386242077091,14.42025
grid_inv_baseline,grid,inverted,2.3177706650806997,0.38921779123136185,1.0005140605301202,99.57284353994933,3.928350084311055,0.5209901183685209,283.016875
grid_inv_memoryless,grid,inverted,-0.3642462167507866,3.42057480058503e-05,0.0,0.0,1.6992134353625106,0.2868178940161608,39.895
grid_inv_anti,grid,inverted,0.5673521200773645,0.007897541476763102,1.068605082188886,3.821433330482214,0.791540393854477,0.23081404606939543,14.377375
grid_inv_blind,grid,inverted,1.8858887853841215,0.019613007062245294,1.013195239340026,49.47827984951359,3.9479185729317634,0.5236809359322688,303.780125
net_std_baseline,network,standard,1.6415094301872344,0.7702314635019628,1.0916306682452197,87.9317635597625,3.925503090978399,0.17679212538723124,227.586125
net_std_memoryless,network,standard,-0.36416618791815913,0.002166921248682681,0.0,0.0,1.7790351712826729,0.328188832006238,39.892125
net_std_anti,network,standard,1.214364808350815,-1.6669781793134621,1.3380953020045367,70.72522437082962,2.7354777039078715,0.35202794630753376,130.079125
net_inv_baseline,network,inverted,1.5542575266850591,0.760357229160985,1.1374495414034045,84.61122978859403,3.9113141907039095,0.4938465343733231,214.58625
net_inv_memoryless,network,inverted,-0.36416618791815913,0.001956553694460239,0.0,0.0,1.6983692149918896,0.26254191169728397,39.892125
net_inv_anti,network,inverted,1.2138101315186791,-1.6970920271045624,1.358268735651263,71.15634136485012,2.567032604759057,0.2811788918454446,125.8905
net_inv_blind,network,inverted,1.140571980371833,0.014593913393597707,1.0332427502017236,11.891320633857365,3.545706243461136,0.378106075968168,139.06225
