alpha,split,threshold,cum_ep_mean,cum_ep_std
0.05,2,0.3,406.1965829954476,34.099638833675556
0.05,2,0.5,392.30063991703156,23.939652495743985
0.05,2,0.8,423.0567519723754,48.60379788210479
0.05,8,0.3,621.8025320387968,19.23953822214024
0.05,8,0.5,610.949813617215,14.010846801084108
0.05,8,0.8,625.1046922721563,27.393555095081155
0.05,16,0.3,690.4452684963509,12.255302536071895
0.05,16,0.5,681.0829888616845,9.351026865257525
0.05,16,0.8,687.9599185824587,17.89773898911573
0.1,2,0.3,384.38465637811237,11.171996715562338
0.1,2,0.5,391.7882269015644,22.78451165002199
0.1,2,0.8,365.2648362946611,20.538818623430974
0.1,8,0.3,676.2325776551751,3.9321391705707445
0.1,8,0.5,678.7048977545055,8.343350875046045
0.1,8,0.8,665.6932208017133,7.075532228143014
0.1,16,0.3,782.8086175335643,2.2788007613903765
0.1,16,0.5,782.8393704817034,2.272096949674874
0.1,16,0.8,777.4333374174485,2.1793711852202047
0.15,2,0.3,361.4024872367174,19.953381192950854
0.15,2,0.5,363.5944595778828,22.36251630223004
0.15,2,0.8,352.43540961996524,31.765270299582856
0.15,8,0.3,651.76400696976,6.7234317532349275
0.15,8,0.5,653.5782487729417,6.107517342595044
0.15,8,0.8,649.1974249115424,13.139461439983759
0.15,16,0.3,763.8963579901218,1.2797143647034133
0.15,16,0.5,765.3782528534251,4.472630462692774
0.15,16,0.8,764.2602513185203,1.9380479610253083
0.2,2,0.3,303.1160647560735,21.15166347187439
0.2,2,0.5,306.95824866675656,23.53534898419199
0.2,2,0.8,305.3103214272956,24.022339538121404
0.2,8,0.3,582.3157179118991,10.350437413420737
0.2,8,0.5,589.3903339665627,7.2132220612563565
0.2,8,0.8,593.0135672883943,14.636949624853623
0.2,16,0.3,696.6808567681277,3.5011362231620473
0.2,16,0.5,704.6766675852147,7.559208306029245
0.2,16,0.8,710.2641094852743,9.193373158195637
0.25,2,0.3,239.19246582318678,14.277837216044485
0.25,2,0.5,276.23069610405264,20.181613293576458
0.25,2,0.8,291.47859388968317,20.432198294715512
0.25,8,0.3,502.4371032409804,3.395012627074886
0.25,8,0.5,532.7741187720866,14.910424270551603
0.25,8,0.8,549.6778610203086,9.592156138968566
0.25,16,0.3,616.2721925670116,3.3511226797482507
0.25,16,0.5,639.4214759023106,10.922384661495897
0.25,16,0.8,655.1259650371601,2.931383331060923
0.3,2,0.3,206.35173307579703,15.468692743859014
0.3,2,0.5,207.422790752969,11.546019824546072
0.3,2,0.8,318.29276253100755,33.94295407423402
0.3,8,0.3,441.46221699999484,6.631092663323047
0.3,8,0.5,446.3657501390264,14.62361386920582
0.3,8,0.8,540.1423357161192,18.298375442352334
0.3,16,0.3,544.959174739976,2.963327810459955
0.3,16,0.5,551.4545644534979,16.80990422868079
0.3,16,0.8,626.4998369102456,9.586722814034415
0.4,2,0.3,172.3990325424754,14.409481538369691
0.4,2,0.5,164.70847017554243,11.404978307215218
0.4,2,0.8,441.7783694245559,18.954750634605197
0.4,8,0.3,349.67688626806495,18.803006711559146
0.4,8,0.5,338.51656328991197,14.273428776565742
0.4,8,0.8,611.3730806309562,16.888327441037696
0.4,16,0.3,426.9054482536412,19.686545503996303
0.4,16,0.5,414.83892390446414,14.747046126672155
0.4,16,0.8,668.9074883517911,15.866313458132792
